number,value,datetime_start,datetime_complete,duration,params_activation,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_optimizer,state
0,0.3694,2026-04-28 19:18:37.834167,2026-04-28 19:20:09.737564,0 days 00:01:31.903397,relu,0.00402435602153446,1,155,,,,rmsprop,COMPLETE
1,0.3818,2026-04-28 19:20:09.739755,2026-04-28 19:21:43.116479,0 days 00:01:33.376724,relu,0.0032121802384229227,4,67,90.0,625.0,48.0,adam,COMPLETE
2,0.3646,2026-04-28 19:21:43.118756,2026-04-28 19:23:15.223211,0 days 00:01:32.104455,sigmoid,3.584066187474003e-05,2,49,533.0,,,adam,COMPLETE
3,0.3806,2026-04-28 19:23:15.225307,2026-04-28 19:24:46.562371,0 days 00:01:31.337064,leaky_relu,1.8484221253788926e-05,1,39,,,,adam,COMPLETE
4,0.4706,2026-04-28 19:24:46.563465,2026-04-28 19:26:16.124784,0 days 00:01:29.561319,sigmoid,0.0004009025820284614,1,241,,,,rmsprop,COMPLETE
5,0.411,2026-04-28 19:26:16.126736,2026-04-28 19:27:46.582286,0 days 00:01:30.455550,tanh,0.0007529537953372707,3,69,55.0,259.0,,rmsprop,COMPLETE
6,0.3148,2026-04-28 19:27:46.584438,2026-04-28 19:28:23.173159,0 days 00:00:36.588721,relu,0.00307095853873017,2,498,195.0,,,rmsprop,PRUNED
7,0.1044,2026-04-28 19:28:23.174679,2026-04-28 19:28:58.902793,0 days 00:00:35.728114,tanh,0.09978854077941018,1,501,,,,rmsprop,PRUNED
8,0.4902,2026-04-28 19:28:58.904653,2026-04-28 19:30:32.096226,0 days 00:01:33.191573,leaky_relu,6.26662918509756e-05,4,118,262.0,292.0,769.0,adam,COMPLETE
9,0.463,2026-04-28 19:30:32.097950,2026-04-28 19:32:05.361937,0 days 00:01:33.263987,leaky_relu,0.0005052829389076143,3,875,216.0,48.0,,rmsprop,COMPLETE
10,0.4352,2026-04-28 19:32:05.362835,2026-04-28 19:33:36.905187,0 days 00:01:31.542352,elu,0.00013505021215062866,4,138,844.0,129.0,1006.0,sgd,COMPLETE
11,0.135,2026-04-28 19:33:36.907599,2026-04-28 19:34:13.248400,0 days 00:00:36.340801,sigmoid,0.00012066950064342666,3,284,381.0,994.0,,sgd,PRUNED
12,0.4796,2026-04-28 19:34:13.249616,2026-04-28 19:35:44.855805,0 days 00:01:31.606189,leaky_relu,0.00013015370656568954,2,239,99.0,,,adam,COMPLETE
13,0.4558,2026-04-28 19:35:44.857410,2026-04-28 19:37:15.417187,0 days 00:01:30.559777,leaky_relu,6.844628787118666e-05,2,103,99.0,,,adam,COMPLETE
14,0.4602,2026-04-28 19:37:15.419096,2026-04-28 19:38:47.708287,0 days 00:01:32.289191,leaky_relu,1.6727691749759515e-05,4,288,123.0,244.0,967.0,adam,COMPLETE
15,0.4564,2026-04-28 19:38:47.709192,2026-04-28 19:40:18.453073,0 days 00:01:30.743881,leaky_relu,0.00022623179277250576,3,106,33.0,94.0,,adam,COMPLETE
16,0.3694,2026-04-28 19:40:18.454955,2026-04-28 19:40:54.415410,0 days 00:00:35.960455,elu,1.0864487276783174e-05,2,219,291.0,,,adam,PRUNED
17,0.311,2026-04-28 19:40:54.417286,2026-04-28 19:41:30.756977,0 days 00:00:36.339691,leaky_relu,5.9908214436361954e-05,4,101,139.0,436.0,219.0,sgd,PRUNED
18,0.1296,2026-04-28 19:41:30.757936,2026-04-28 19:42:06.725716,0 days 00:00:35.967780,leaky_relu,0.02639722591819182,3,409,61.0,45.0,,adam,PRUNED
19,0.4968,2026-04-28 19:42:06.726544,2026-04-28 19:43:39.081632,0 days 00:01:32.355088,leaky_relu,0.0013798100283242342,2,1005,416.0,,,adam,COMPLETE
20,0.4926,2026-04-28 19:43:39.082985,2026-04-28 19:45:12.793460,0 days 00:01:33.710475,elu,0.001519872014670988,4,564,647.0,396.0,250.0,adam,COMPLETE
21,0.491,2026-04-28 19:45:12.795491,2026-04-28 19:46:47.796979,0 days 00:01:35.001488,elu,0.0014957887532825714,4,932,614.0,410.0,278.0,adam,COMPLETE
22,0.3334,2026-04-28 19:46:47.797871,2026-04-28 19:47:26.256663,0 days 00:00:38.458792,elu,0.00797319970628196,4,991,994.0,478.0,201.0,adam,PRUNED
23,0.4888,2026-04-28 19:47:26.257622,2026-04-28 19:48:59.442517,0 days 00:01:33.184895,elu,0.0013842997279215796,3,727,577.0,844.0,,adam,COMPLETE
24,0.4898,2026-04-28 19:48:59.444314,2026-04-28 19:50:33.699198,0 days 00:01:34.254884,elu,0.0015779361514478086,4,686,597.0,385.0,308.0,adam,COMPLETE
25,0.5216,2026-04-28 19:50:33.700065,2026-04-28 19:52:03.653937,0 days 00:01:29.953872,elu,0.008018669211658554,3,626,401.0,137.0,,sgd,COMPLETE
26,0.5052,2026-04-28 19:52:03.655256,2026-04-28 19:53:32.606918,0 days 00:01:28.951662,elu,0.011877795385856376,2,411,377.0,,,sgd,COMPLETE
27,0.5118,2026-04-28 19:53:32.608595,2026-04-28 19:55:01.348754,0 days 00:01:28.740159,elu,0.01597216411023202,2,432,392.0,,,sgd,COMPLETE
28,0.4942,2026-04-28 19:55:01.349710,2026-04-28 19:56:29.419531,0 days 00:01:28.069821,elu,0.023564925626079494,2,371,352.0,,,sgd,COMPLETE
29,0.487,2026-04-28 19:56:29.421452,2026-04-28 19:57:56.457639,0 days 00:01:27.036187,elu,0.010494562358441319,1,369,,,,sgd,COMPLETE
